Paso,Posicion_X,Posicion_Y
978,1206.4,-201.067
979,1208.87,-201.478
980,1211.34,-201.89
981,1213.81,-202.302
982,1216.29,-202.714
983,1218.76,-203.127
984,1221.24,-203.54
985,1223.72,-203.954
986,1226.21,-204.368
987,1228.7,-204.783
988,1231.19,-205.198
989,1233.68,-205.613
990,1236.17,-206.029
991,1238.67,-206.445
992,1241.17,-206.862
993,1243.67,-207.279
994,1246.18,-207.696
995,1248.69,-208.114
996,1251.2,-208.533
997,1253.71,-208.951
998,1256.22,-209.37
999,1258.74,-209.79
