Paso,Posicion_X,Posicion_Y,Velocidad_X,Velocidad_Y
614,-196.627,8.5395,-73.89,-3.14
615,-197.367,8.508,-74.025,-3.15
616,-198.109,8.4764,-74.16,-3.16
617,-198.852,8.4447,-74.295,-3.17
618,-199.596,8.4129,-74.43,-3.18
619,-200.341,8.381,-74.565,-3.19
620,-201.088,8.349,-74.7,-3.2
621,-201.837,8.3169,-74.835,-3.21
622,-202.587,8.2847,-74.97,-3.22
623,-203.338,8.2524,-75.105,-3.23
624,-204.09,8.22,-75.24,-3.24
625,-204.844,8.1875,-75.375,-3.25
626,-205.599,8.1549,-75.51,-3.26
627,-206.355,8.1222,-75.645,-3.27
628,-207.113,8.0894,-75.78,-3.28
629,-207.872,8.0565,-75.915,-3.29
630,-208.633,8.0235,-76.05,-3.3
631,-209.395,7.9904,-76.185,-3.31
632,-210.158,7.9572,-76.32,-3.32
633,-210.922,7.9239,-76.455,-3.33
634,-211.688,7.8905,-76.59,-3.34
635,-212.455,7.857,-76.725,-3.35
636,-213.224,7.8234,-76.86,-3.36
637,-213.994,7.7897,-76.995,-3.37
638,-214.765,7.7559,-77.13,-3.38
639,-215.538,7.722,-77.265,-3.39
640,-216.312,7.688,-77.4,-3.4
641,-217.087,7.6539,-77.535,-3.41
642,-217.864,7.6197,-77.67,-3.42
643,-218.642,7.5854,-77.805,-3.43
644,-219.421,7.551,-77.94,-3.44
645,-220.202,7.5165,-78.075,-3.45
646,-220.984,7.4819,-78.21,-3.46
647,-221.768,7.4472,-78.345,-3.47
648,-222.553,7.4124,-78.48,-3.48
649,-223.339,7.3775,-78.615,-3.49
650,-224.126,7.3425,-78.75,-3.5
651,-224.915,7.3074,-78.885,-3.51
652,-225.705,7.2722,-79.02,-3.52
653,-226.497,7.2369,-79.155,-3.53
654,-227.29,7.2015,-79.29,-3.54
655,-228.084,7.166,-79.425,-3.55
656,-228.88,7.1304,-79.56,-3.56
657,-229.677,7.0947,-79.695,-3.57
658,-230.475,7.0589,-79.83,-3.58
659,-231.274,7.023,-79.965,-3.59
660,-232.075,6.987,-80.1,-3.6
661,-232.878,6.9509,-80.235,-3.61
662,-233.682,6.9147,-80.37,-3.62
663,-234.487,6.8784,-80.505,-3.63
664,-235.293,6.842,-80.64,-3.64
665,-236.101,6.8055,-80.775,-3.65
666,-236.91,6.7689,-80.91,-3.66
667,-237.72,6.7322,-81.045,-3.67
668,-238.532,6.6954,-81.18,-3.68
669,-239.345,6.6585,-81.315,-3.69
670,-240.16,6.6215,-81.45,-3.7
671,-240.976,6.5844,-81.585,-3.71
672,-241.793,6.5472,-81.72,-3.72
673,-242.611,6.5099,-81.855,-3.73
674,-243.431,6.4725,-81.99,-3.74
675,-244.252,6.435,-82.125,-3.75
676,-245.075,6.3974,-82.26,-3.76
677,-245.899,6.3597,-82.395,-3.77
678,-246.724,6.3219,-82.53,-3.78
679,-247.551,6.284,-82.665,-3.79
680,-248.379,6.246,-82.8,-3.8
681,-249.208,6.2079,-82.935,-3.81
682,-250.039,6.1697,-83.07,-3.82
683,-250.871,6.1314,-83.205,-3.83
684,-251.704,6.093,-83.34,-3.84
685,-252.539,6.0545,-83.475,-3.85
686,-253.375,6.0159,-83.61,-3.86
687,-254.213,5.9772,-83.745,-3.87
688,-255.052,5.9384,-83.88,-3.88
689,-255.892,5.8995,-84.015,-3.89
690,-256.733,5.8605,-84.15,-3.9
691,-257.576,5.8214,-84.285,-3.91
692,-258.42,5.7822,-84.42,-3.92
693,-259.266,5.7429,-84.555,-3.93
694,-260.113,5.7035,-84.69,-3.94
695,-260.961,5.664,-84.825,-3.95
696,-261.811,5.6244,-84.96,-3.96
697,-262.662,5.5847,-85.095,-3.97
698,-263.514,5.5449,-85.23,-3.98
699,-264.368,5.505,-85.365,-3.99
700,-265.223,5.465,-85.5,-4
701,-266.079,5.4249,-85.635,-4.01
702,-266.937,5.3847,-85.77,-4.02
703,-267.796,5.3444,-85.905,-4.03
704,-268.656,5.304,-86.04,-4.04
705,-269.518,5.2635,-86.175,-4.05
706,-270.381,5.2229,-86.31,-4.06
707,-271.245,5.1822,-86.445,-4.07
708,-272.111,5.1414,-86.58,-4.08
709,-272.978,5.1005,-86.715,-4.09
710,-273.847,5.0595,-86.85,-4.1
711,-274.717,5.0184,-86.985,-4.11
712,-275.588,4.9772,-87.12,-4.12
713,-276.46,4.9359,-87.255,-4.13
714,-277.334,4.8945,-87.39,-4.14
715,-278.21,4.853,-87.525,-4.15
716,-279.086,4.8114,-87.66,-4.16
717,-279.964,4.7697,-87.795,-4.17
718,-280.843,4.7279,-87.93,-4.18
719,-281.724,4.686,-88.065,-4.19
720,-282.606,4.644,-88.2,-4.2
721,-283.489,4.6019,-88.335,-4.21
722,-284.374,4.5597,-88.47,-4.22
723,-285.26,4.5174,-88.605,-4.23
724,-286.148,4.475,-88.74,-4.24
725,-287.036,4.4325,-88.875,-4.25
726,-287.926,4.3899,-89.01,-4.26
727,-288.818,4.3472,-89.145,-4.27
728,-289.711,4.3044,-89.28,-4.28
729,-290.605,4.2615,-89.415,-4.29
730,-291.5,4.2185,-89.55,-4.3
731,-292.397,4.1754,-89.685,-4.31
732,-293.295,4.1322,-89.82,-4.32
733,-294.195,4.0889,-89.955,-4.33
734,-295.096,4.0455,-90.09,-4.34
735,-295.998,4.002,-90.225,-4.35
736,-296.902,3.9584,-90.36,-4.36
737,-297.807,3.9147,-90.495,-4.37
738,-298.713,3.8709,-90.63,-4.38
739,-299.621,3.827,-90.765,-4.39
740,-300.53,3.783,-90.9,-4.4
741,-301.44,3.7389,-91.035,-4.41
742,-302.352,3.6947,-91.17,-4.42
743,-303.265,3.6504,-91.305,-4.43
744,-304.179,3.606,-91.44,-4.44
745,-305.095,3.5615,-91.575,-4.45
746,-306.012,3.5169,-91.71,-4.46
747,-306.93,3.4722,-91.845,-4.47
748,-307.85,3.4274,-91.98,-4.48
749,-308.771,3.3825,-92.115,-4.49
750,-309.694,3.3375,-92.25,-4.5
751,-310.618,3.2924,-92.385,-4.51
752,-311.543,3.2472,-92.52,-4.52
753,-312.469,3.2019,-92.655,-4.53
754,-313.397,3.1565,-92.79,-4.54
755,-314.327,3.111,-92.925,-4.55
756,-315.257,3.0654,-93.06,-4.56
757,-316.189,3.0197,-93.195,-4.57
758,-317.122,2.9739,-93.33,-4.58
759,-318.057,2.928,-93.465,-4.59
760,-318.993,2.882,-93.6,-4.6
761,-319.93,2.8359,-93.735,-4.61
762,-320.869,2.7897,-93.87,-4.62
763,-321.809,2.7434,-94.005,-4.63
764,-322.751,2.697,-94.14,-4.64
765,-323.693,2.6505,-94.275,-4.65
766,-324.637,2.6039,-94.41,-4.66
767,-325.583,2.5572,-94.545,-4.67
768,-326.53,2.5104,-94.68,-4.68
769,-327.478,2.4635,-94.815,-4.69
770,-328.427,2.4165,-94.95,-4.7
771,-329.378,2.3694,-95.085,-4.71
772,-330.33,2.3222,-95.22,-4.72
773,-331.284,2.2749,-95.355,-4.73
774,-332.239,2.2275,-95.49,-4.74
775,-333.195,2.18,-95.625,-4.75
776,-334.153,2.1324,-95.76,-4.76
777,-335.112,2.0847,-95.895,-4.77
778,-336.072,2.0369,-96.03,-4.78
779,-337.034,1.989,-96.165,-4.79
780,-337.997,1.941,-96.3,-4.8
781,-338.961,1.8929,-96.435,-4.81
782,-339.927,1.8447,-96.57,-4.82
783,-340.894,1.7964,-96.705,-4.83
784,-341.862,1.748,-96.84,-4.84
785,-342.832,1.6995,-96.975,-4.85
786,-343.803,1.6509,-97.11,-4.86
787,-344.775,1.6022,-97.245,-4.87
788,-345.749,1.5534,-97.38,-4.88
789,-346.724,1.5045,-97.515,-4.89
790,-347.701,1.4555,-97.65,-4.9
791,-348.679,1.4064,-97.785,-4.91
792,-349.658,1.3572,-97.92,-4.92
793,-350.638,1.3079,-98.055,-4.93
794,-351.62,1.2585,-98.19,-4.94
