Paso,Posicion_X,Posicion_Y,Velocidad_X,Velocidad_Y
1171,-7.23115e+13,1.20519e+13,-1.23398e+13,2.05664e+12
1172,-7.2435e+13,1.20725e+13,-1.23504e+13,2.0584e+12
1173,-7.25586e+13,1.20931e+13,-1.23609e+13,2.06015e+12
1174,-7.26823e+13,1.21137e+13,-1.23715e+13,2.06191e+12
1175,-7.28061e+13,1.21344e+13,-1.2382e+13,2.06367e+12
1176,-7.29301e+13,1.2155e+13,-1.23925e+13,2.06542e+12
1177,-7.30541e+13,1.21757e+13,-1.24031e+13,2.06718e+12
1178,-7.31782e+13,1.21964e+13,-1.24136e+13,2.06894e+12
1179,-7.33025e+13,1.22171e+13,-1.24241e+13,2.07069e+12
1180,-7.34268e+13,1.22378e+13,-1.24347e+13,2.07245e+12
1181,-7.35513e+13,1.22585e+13,-1.24452e+13,2.0742e+12
1182,-7.36758e+13,1.22793e+13,-1.24558e+13,2.07596e+12
1183,-7.38005e+13,1.23001e+13,-1.24663e+13,2.07772e+12
1184,-7.39253e+13,1.23209e+13,-1.24768e+13,2.07947e+12
1185,-7.40501e+13,1.23417e+13,-1.24874e+13,2.08123e+12
1186,-7.41751e+13,1.23625e+13,-1.24979e+13,2.08299e+12
1187,-7.43002e+13,1.23834e+13,-1.25085e+13,2.08474e+12
1188,-7.44254e+13,1.24042e+13,-1.2519e+13,2.0865e+12
1189,-7.45507e+13,1.24251e+13,-1.25295e+13,2.08825e+12
1190,-7.46761e+13,1.2446e+13,-1.25401e+13,2.09001e+12
1191,-7.48016e+13,1.24669e+13,-1.25506e+13,2.09177e+12
1192,-7.49272e+13,1.24879e+13,-1.25611e+13,2.09352e+12
1193,-7.50529e+13,1.25088e+13,-1.25717e+13,2.09528e+12
1194,-7.51787e+13,1.25298e+13,-1.25822e+13,2.09704e+12
1195,-7.53047e+13,1.25508e+13,-1.25928e+13,2.09879e+12
1196,-7.54307e+13,1.25718e+13,-1.26033e+13,2.10055e+12
1197,-7.55568e+13,1.25928e+13,-1.26138e+13,2.10231e+12
1198,-7.56831e+13,1.26138e+13,-1.26244e+13,2.10406e+12
1199,-7.58094e+13,1.26349e+13,-1.26349e+13,2.10582e+12
1200,-7.59359e+13,1.2656e+13,-1.26454e+13,2.10757e+12
1201,-7.60625e+13,1.26771e+13,-1.2656e+13,2.10933e+12
1202,-7.61891e+13,1.26982e+13,-1.26665e+13,2.11109e+12
1203,-7.63159e+13,1.27193e+13,-1.26771e+13,2.11284e+12
1204,-7.64428e+13,1.27405e+13,-1.26876e+13,2.1146e+12
1205,-7.65697e+13,1.27616e+13,-1.26981e+13,2.11636e+12
1206,-7.66968e+13,1.27828e+13,-1.27087e+13,2.11811e+12
1207,-7.6824e+13,1.2804e+13,-1.27192e+13,2.11987e+12
1208,-7.69513e+13,1.28252e+13,-1.27297e+13,2.12162e+12
